SYSTEM,ROUTE,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,,,,,,,,,,,,
LA METRO BUS,2-13131,11344,12194,7304,3108,3617,4340,,,,,,,,,,,,
,4-13131,14039,15192,9752,5033,6449,7614,,,,,,,,,,,,
,9,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,10-13131,10528,11664,6887,2561,2937,3636,,,,,,,,,,,,
,14-13131,15630,16904,10398,4059,4613,5605,,,,,,,,,,,,
,16-13131,19556,20485,13097,6015,7618,9608,,,,,,,,,,,,
,18-13131,16602,17512,11695,6345,8447,9722,,,,,,,,,,,,
,20-13131,12220,12611,8057,3407,3982,4837,,,,,,,,,,,,
,26,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,28-13131,7772,8113,5011,2276,3226,4280,,,,,,,,,,,,
,30-13131,11355,11875,7785,3861,4991,5955,,,,,,,,,,,,
,33-13131,9706,10327,6600,3004,3457,4538,,,,,,,,,,,,
,35-13131,7168,8000,5049,2314,2386,2959,,,,,,,,,,,,
,38,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,40-13131,13514,14457,10152,5599,6831,8134,,,,,,,,,,,,
,42,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,45-13131,12782,13283,8774,4692,6480,7428,,,,,,,,,,,,
,51-13131,21979,23360,15722,8813,10525,12170,,,,,,,,,,,,
,53-13131,10976,11852,7831,3991,4306,4986,,,,,,,,,,,,
,55-13131,6701,7443,4562,2093,2573,3122,,,,,,,,,,,,
,60-13131,12979,13729,9480,5050,6370,7333,,,,,,,,,,,,
,62-13131,3975,3972,2814,1491,1434,1743,,,,,,,,,,,,
,66-13131,9848,10319,7257,3679,4916,6211,,,,,,,,,,,,
,68-13131,5036,5431,3496,1580,1998,2526,,,,,,,,,,,,
,70-13131,8804,8837,5465,2549,3367,4082,,,,,,,,,,,,
,71-13131,1432,1637,1040,288,340,375,,,,,,,,,,,,
,76-13131,7807,7613,4663,1766,2553,3037,,,,,,,,,,,,
,78-13131,8269,8597,5401,2215,2731,3265,,,,,,,,,,,,
,81-31313,12771,13218,8376,3639,4600,5459,,,,,,,,,,,,
,83-13131,2260,2318,1494,771,890,999,,,,,,,,,,,,
,84,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,90-13131,6593,6878,4393,1752,1945,2264,,,,,,,,,,,,
,92-13131,5315,5585,3190,1342,1628,2091,,,,,,,,,,,,
,94-13131,4100,4232,2805,1586,2410,2881,,,,,,,,,,,,
,96-13131,1252,1311,817,331,302,376,,,,,,,,,,,,
,102-13131,2405,2582,1693,799,1017,1265,,,,,,,,,,,,
,105-13131,9646,10385,6866,3373,4186,5600,,,,,,,,,,,,
,106-13131,378,453,282,120,n/a,n/a,,,,,,,,,,,,
,108-13131,14970,15780,10495,5108,5987,6987,,,,,,,,,,,,
,110-13131,7511,8218,5017,2132,2389,2997,,,,,,,,,,,,
,111-13131,14515,15313,10238,5495,7283,8256,,,,,,,,,,,,
,115-13131,13443,14709,9545,4335,5251,6020,,,,,,,,,,,,
,117-13131,8465,9074,5968,2707,3239,3832,,,,,,,,,,,,
,120-13131,3480,3714,2315,1174,1131,1373,,,,,,,,,,,,
,121,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,124,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,125-13131,4293,4510,2960,1549,1378,1853,,,,,,,,,,,,
,126-13131,167,196,111,41,53,78,,,,,,,,,,,,
,127-13131,803,851,516,204,261,331,,,,,,,,,,,,
,128-13131,1028,1155,837,404,386,537,,,,,,,,,,,,
,130-13131,2400,2608,1873,886,831,1099,,,,,,,,,,,,
,150-13131,8070,8257,5417,2661,3285,3972,,,,,,,,,,,,
,152-13131,10220,11051,6825,3056,3507,4253,,,,,,,,,,,,
,154-13131,742,787,496,220,282,361,,,,,,,,,,,,
,155-13131,1181,1251,764,238,253,330,,,,,,,,,,,,
,156,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,158-13131,1833,2104,1247,463,524,706,,,,,,,,,,,,
,161-13131,1138,1158,760,328,306,402,,,,,,,,,,,,
,162,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,163-13131,8674,9314,6029,2936,3242,3894,,,,,,,,,,,,
,164-13131,5585,6234,3801,1507,1729,2171,,,,,,,,,,,,
,165-13131,7295,7962,4765,1895,2025,2643,,,,,,,,,,,,
,166-13131,5541,6080,3638,1360,1463,1845,,,,,,,,,,,,
,167-13131,2063,2364,1540,734,822,983,,,,,,,,,,,,
,168,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,169-13131,2053,2207,1372,577,795,969,,,,,,,,,,,,
,175-13131,687,790,450,92,116,146,,,,,,,,,,,,
,176-13131,1449,1478,954,414,525,608,,,,,,,,,,,,
,177-13131,341,362,248,81,n/a,n/a,,,,,,,,,,,,
,180-13131,7437,7746,4946,2638,3512,4563,,,,,,,,,,,,
,182,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,183-13131,1592,1694,1038,337,255,408,,,,,,,,,,,,
,190,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,200-13131,10411,10790,7435,3790,5077,6114,,,,,,,,,,,,
,201-13131,915,938,626,243,276,365,,,,,,,,,,,,
,202-13131,204,198,137,98,124,147,,,,,,,,,,,,
,204-13131,18629,20245,13851,7796,9907,11864,,,,,,,,,,,,
,205-13131,3012,3399,2127,1313,1139,1481,,,,,,,,,,,,
,206-13131,10017,10484,6783,3056,3767,4513,,,,,,,,,,,,
,207-13131,15563,16611,12004,6536,7641,9275,,,,,,,,,,,,
,209-13131,772,839,540,245,290,328,,,,,,,,,,,,
,210-13131,9893,10468,6986,3711,4254,5103,,,,,,,,,,,,
,211-13131,585,670,381,120,120,155,,,,,,,,,,,,
,212-13131,10440,10826,6757,3212,3695,4348,,,,,,,,,,,,
,214,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,217-13131,6297,6533,4025,1610,1713,2060,,,,,,,,,,,,
,218-13131,902,928,639,276,216,298,,,,,,,,,,,,
,220,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,222-13131,1229,1248,796,351,400,446,,,,,,,,,,,,
,224-13131,6907,7289,4789,2479,2772,2950,,,,,,,,,,,,
,230-13131,3652,4137,2577,1031,1160,1444,,,,,,,,,,,,
,232-13131,4500,4631,3317,2167,2244,2650,,,,,,,,,,,,
,233-13131,10630,11418,7867,4503,5378,6654,,,,,,,,,,,,
,234-13131,4797,5258,3625,2040,2343,2778,,,,,,,,,,,,
,236-13131,1470,1657,1026,369,368,478,,,,,,,,,,,,
,237-13131,1836,1973,1239,618,740,885,,,,,,,,,,,,
,239-13131,861,1059,643,234,300,355,,,,,,,,,,,,
,240,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,242,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,243-13131,1521,1733,995,341,410,550,,,,,,,,,,,,
,244,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
,245-13131,2532,2755,1573,475,445,575,,,,,,,,,,,,
,246-13131,2168,2333,1593,1012,1110,1313,,,,,,,,,,,,
,251-13131,7671,8067,5463,2894,3705,4703,,,,,,,,,,,,
,252-13131,2046,2264,1399,573,541,685,,,,,,,,,,,,
,254-13131,723,752,571,357,451,462,,,,,,,,,,,,
,256-13131,1360,1581,1027,481,412,441,,,,,,,,,,,,
,258-13131,2331,2612,1613,682,708,853,,,,,,,,,,,,
,260-13131,8804,9324,5828,2683,3312,4131,,,,,,,,,,,,
,265-13131,1267,1380,892,347,403,495,,,,,,,,,,,,
,266-13131,4652,4797,3168,1588,1516,1887,,,,,,,,,,,,
,267-13131,2615,2837,1711,640,576,735,,,,,,,,,,,,
