GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
390610057013011,45213,3,89,14,3,1,63
390610064003013,45237,5162,67,61,0,0,6
390610046023001,45230,24,19,0,0,2,17
390610046031008,45230,2001,25,4,3,0,13
390610248002033,45227,29,7,0,0,0,6
390610231001036,45215,43,26,0,3,5,17
390610208113002,45239,2031,716,165,9,55,462
390610048001006,45208,28,65,0,8,1,55
390610055004015,45227,28,12,4,0,0,6
390610111002005,45231,1112,68,44,7,1,8
390610083001001,45239,19,19,11,0,0,6
390610083003002,45239,17,218,141,8,7,57
390610226023005,45215,78,52,5,2,0,44
390610106001029,45233,3381,41,0,0,0,40
390610056002032,45227,29,42,7,0,0,33
390610273002051,45150,29,1,0,0,0,1
390610243241006,45140,71,0,0,0,0,0
390610266002051,45226,28,11,10,0,0,0
390610265003031,45202,21,0,0,0,0,0
390610069003001,45220,46,366,339,5,9,10
390610254022006,45212,51,0,0,0,0,0
390610007001002,45202,40,0,0,0,0,0
390610007001000,45202,4,5,4,0,0,0
390610258001006,45217,78,0,0,0,0,0
390610060002001,45215,78,0,0,0,0,0
390610240012017,45236,3,41,0,0,0,38
390610270002020,45206,43,13,8,0,0,1
390610258003003,45217,78,0,0,0,0,0
390610273002071,45174,29,23,0,1,4,16
390610237012007,45236,4,83,4,0,0,76
390610236001004,45236,3,31,0,1,0,23
390610237011001,45236,3,0,0,0,0,0
390610237021012,45236,3,35,1,1,3,30
390610105001031,45233,32,15,0,0,0,9
390610221022009,45231,20,0,0,0,0,0
390610074002027,45223,27,0,0,0,0,0
390610009001006,45202,100,4,0,0,0,0
390610082013008,45224,4012,176,95,1,1,70
390610053013002,45209,3171,43,6,1,0,32
390610214014012,45238,77,67,4,1,0,58
390610077002004,45223,16,0,0,0,0,0
390610240012025,45236,3,62,7,8,6,38
390610010003018,45202,17,12,0,0,0,11
390610010003001,45202,17,0,0,0,0,0
390610210012005,45248,40,109,0,13,2,91
390610210032001,45248,33,110,2,5,0,102
390610235211032,45242,67,0,0,0,0,0
390610227003032,45215,78,14,13,0,0,1
390610065022012,45217,2411,41,29,2,0,7
390610213042001,45238,77,170,1,5,0,153
390610225003000,45215,78,24,11,8,0,3
390610103001027,45204,50,9,0,0,0,7
390610007002037,45202,78,0,0,0,0,0
390610057024002,45212,3,242,88,9,5,132
390610009003012,45202,6,0,0,0,0,0
390610235224012,45242,3,29,8,0,0,17
390610233001021,45236,2421,33,0,2,4,24
390610226023018,45215,4061,68,6,2,0,59
390610260013015,45030,52,0,0,0,0,0
390610209023009,45211,1751,60,7,2,0,47
390610258003014,45217,78,0,0,0,0,0
390610241004011,45243,2,122,0,4,2,109
390610219001001,45224,17,34,23,9,0,0
390610226022012,45215,78,24,7,0,1,14
390610212023007,45238,4051,283,75,0,0,196
390610226021001,45215,78,65,7,8,0,49
390610273002063,45174,29,52,0,0,0,50
390610077002033,45225,49,8,4,4,0,0
390610275003038,45230,4004,11,0,1,0,9
390610217011004,45231,17,63,8,4,0,49
390610207622003,45239,19,157,43,11,1,88
390610060003002,45216,78,94,31,23,0,38
390610267001059,45206,43,12,8,3,1,0
390610267001029,45206,1,1,0,0,0,1
390610270003004,45229,46,16,10,0,0,1
390610250024004,45230,81,190,4,4,0,178
390610250021003,45230,81,229,0,7,4,210
390610033001012,45219,43,6,4,0,1,0
390610263001061,45203,31,0,0,0,0,0
390610235224007,45236,4,12,4,8,0,0
390610273002076,45174,29,54,0,6,0,48
390610010003007,45202,17,0,0,0,0,0
390610083001009,45239,19,0,0,0,0,0
390610060005003,45215,4061,13,0,5,1,0
390610251023003,45255,30,93,8,1,0,81
390610030002001,45219,90,450,78,7,24,326
390610019002004,45206,1,24,10,3,0,5
390610243013000,45249,71,0,0,0,0,0
390610215062014,45240,20,0,0,0,0,0
390610224002020,45246,78,21,0,2,0,18
390610224002025,45246,78,24,0,0,1,23
390610224001005,45246,23,129,3,0,0,122
390610234003004,45237,2471,97,66,1,2,19
390610252003005,45212,4,0,0,0,0,0
390610213023006,45233,3381,8,0,1,0,4
390610207642004,45239,19,60,2,1,4,46
390610068004002,45229,51,178,161,1,0,11
390610212023004,45238,2151,15,1,1,2,11
390610241006017,45243,2,90,0,10,0,79
390610265001012,45202,49,0,0,0,0,0
390610047031026,45226,4002,166,13,5,0,140
390610221025008,45231,20,64,21,1,0,37
390610221023005,45231,20,38,13,6,8,10
390610226022005,45215,78,33,1,1,2,29
390610099013010,45238,2151,413,71,8,1,309
390610016001001,45214,64,17,5,0,0,10
390610257001002,45216,78,50,15,3,1,28
390610061001060,45216,78,74,13,22,0,39
390610258003018,45217,78,104,23,2,1,69
390610050005004,45208,24,522,51,4,14,438
390610276001022,45209,3,0,0,0,0,0
390610040002016,45207,5151,134,98,7,0,19
390610219001008,45224,17,196,132,16,0,44
390610029011022,45219,17,575,69,16,22,452
390610051002003,45208,25,181,3,14,9,152
391650320111008,45140,71,0,0,0,0,0
391650320091004,45040,71,282,28,8,164,68
390610209011001,45211,40,51,2,2,1,42
390610230012024,45241,67,78,2,1,1,65
390610231001023,45241,43,0,0,0,0,0
390610056004016,45227,25,13,3,1,0,8
390610029021002,45225,20,97,59,3,2,24
390170111092014,45069,42,42,0,13,0,25
390170111251016,45069,42,0,0,0,0,0
391650319044011,45040,71,0,0,0,0,0
390170111091011,45069,42,193,29,9,7,144
390610269002001,45214,31,7,6,0,0,0
390610204011031,45001,32,0,0,0,0,0
390610028001012,45223,20,0,0,0,0,0
390610222002017,45224,4312,464,83,20,6,332
390610093003005,45205,4951,41,11,10,2,11
390610223024020,45249,3,71,0,4,11,51
390610224002008,45246,78,29,0,0,0,28
390610263001102,45203,27,0,0,0,0,0
390610016002001,45202,90,0,0,0,0,0
390610075001005,45223,1742,442,102,6,12,296
390610207412006,45251,17,35,5,3,1,17
390610215092010,45240,17,112,71,13,9,14
390610252004008,45212,4,72,21,3,0,41
390610221025004,45231,20,172,53,1,18,88
390610251013003,45244,30,106,6,8,0,86
390610095001006,45205,4951,149,33,50,0,62
390610111001008,45224,1741,73,20,5,0,46
390610207052003,45239,19,114,21,1,3,79
390610095001002,45205,4951,161,39,81,0,37
390610007002004,45202,20,0,0,0,0,0
390610016002003,45202,100,2,0,0,1,1
390610232013024,45215,43,87,6,0,0,75
390610220004004,45218,14,7,0,5,0,2
390610266002048,45226,28,0,0,0,0,0
390610102014003,45211,2432,100,11,1,0,72
390610209022009,45211,21,29,6,0,0,20
390610052003004,45209,51,262,11,12,10,222
390610007003047,45202,64,41,3,1,7,27
390610007003046,45202,64,0,0,0,0,0
390610265003008,45202,21,0,0,0,0,0
390610011001008,45202,4052,29,0,2,1,25
390610255002003,45212,4,62,7,9,0,40
390610038001002,45207,4,23,8,4,0,10
390610086011004,45225,2431,21,15,0,0,6
390610028002020,45225,16,68,33,2,0,32
390610063001001,45237,43,254,233,8,0,7
390610218021007,45239,17,34,21,0,0,12
390610097003009,45204,77,84,18,1,0,50
390610058003000,45213,11,48,14,1,1,26
390610055003018,45227,11,28,6,0,0,19
390610212023006,45238,32,32,0,0,0,26
390610207015000,45251,74,98,9,1,0,86
390610042001005,45206,4001,69,34,0,0,32
390610240021018,45236,2,45,0,15,3,21
390610275003013,45230,4004,10,0,0,0,10
390610028001002,45223,16,0,0,0,0,0
390610239021011,45242,3,212,1,3,18,185
390610011001029,45202,24,22,2,3,0,16
390610064003019,45229,78,0,0,0,0,0
390610263001028,45204,4081,0,0,0,0,0
390610242001000,45236,2,49,1,7,0,38
390610251031003,45255,30,134,1,7,0,113
390610042001001,45206,11,253,13,7,7,215
390610239011005,45242,67,0,0,0,0,0
390610232222016,45237,43,0,0,0,0,0
390610233002010,45213,4071,75,0,7,0,67
390610086011006,45214,64,203,153,7,0,31
390610227002006,45215,78,60,54,5,0,0
390610277001015,45223,27,16,2,0,2,12
390610218015007,45239,17,221,173,4,0,34
390610225003003,45215,78,120,62,13,7,26
390610207642001,45239,19,82,7,2,1,63
390610019001001,45206,1,19,6,4,0,7
390610053023004,45209,51,35,2,3,0,26
390610247001010,45227,29,64,1,2,0,59
390610061001011,45216,4312,34,12,17,0,5
