GEOID,zip_code,route_id,total_pop,black_pop,hispanic_pop,asian_pop,white_pop
271230307026006,55119,54-113,147,9,6,54,66
271230402002038,55110,265-113,0,0,0,0,0
271230302013014,55108,3-113,83,7,7,4,64
271230339002001,55103,65-113,29,14,2,9,3
271230414003017,55113,225-113,74,0,0,0,71
271230320001014,55104,67-113,32,3,2,2,15
271230405031003,55110,265-113,92,2,4,16,65
271230375001007,55116,46-113,86,1,4,4,66
271230305003001,55117,68-113,54,2,2,31,16
271230374022004,55106,70-113,56,7,6,13,23
271230304003004,55117,61-113,90,8,8,25,49
271230330002004,55130,71-113,15,4,5,1,2
271230421021022,55117,275-113,0,0,0,0,0
271230372004013,55107,68-113,38,0,11,0,22
271230411032003,55421,4-113,115,3,2,6,90
271230302023006,55108,3-113,692,126,28,67,429
271230363003001,55105,87-113,152,0,5,2,133
271230426012004,55109,64-113,51,0,8,3,35
271230332002013,55104,16-113,240,58,35,9,122
271230405021013,55110,265-113,23,0,1,0,21
271230308003016,55117,3-113,46,6,2,28,4
271230427003004,55109,219-113,45,4,1,18,22
271230402001034,55110,265-113,14,0,0,3,11
271230346012014,55106,63-113,67,22,5,8,25
271230421011035,55117,275-113,72,2,21,8,25
271230335002005,55104,83-113,0,0,0,0,0
271230410012007,55112,25-113,44,4,1,4,29
271230414003027,55113,227-113,45,0,0,0,38
271230321001003,55104,921-113,157,14,6,8,128
271230346012005,55106,74-113,91,6,9,35,41
271230346012025,55106,63-113,210,69,36,53,46
271230403011020,55110,270-113,67,0,0,10,52
271230403024006,55110,265-113,0,0,0,0,0
271230375004002,55116,74-113,57,2,1,3,46
271230333003005,55104,87-113,60,2,7,1,46
271230307023005,55119,64-113,77,14,16,13,32
271230347013001,55119,80-113,112,7,30,54,18
271230336001008,55103,65-113,0,0,0,0,0
271230372002002,55107,75-113,184,29,81,16,52
271230301001013,55108,87-113,64,4,3,0,57
271230342013016,55101,902-113,0,0,0,0,0
271230342012004,55101,3-113,0,0,0,0,0
270539800001064,55423,515-113,0,0,0,0,0
270531263002007,55411,14-113,0,0,0,0,0
270530256033013,55431,542-113,187,4,6,0,175
271230375001013,55116,46-113,31,1,2,0,27
271230415001007,55113,223-113,93,10,0,11,64
271230415004010,55113,223-113,87,6,4,13,59
271230366003003,55105,70-113,72,2,2,0,65
271230375005002,55116,921-113,109,2,3,1,101
271230410022012,55112,25-113,38,3,2,3,30
271230325002005,55104,16-113,170,53,6,71,35
271230312003007,55103,3-113,35,11,0,6,16
271230369001018,55102,70-113,29,0,2,4,21
271230421021015,55117,71-113,43,4,5,2,19
271230412002011,55112,4-113,28,0,1,0,25
271230413021032,55113,264-113,61,0,10,5,41
271230430011010,55105,70-113,80,0,1,1,77
271230404022009,55110,219-113,0,0,0,0,0
271230326003006,55103,16-113,49,17,12,20,0
271230423022006,55109,64-113,71,1,2,45,22
271230407043016,55126,227-113,80,0,4,0,68
271230314002009,55117,3-113,54,10,11,2,30
271230427003008,55109,64-113,46,0,4,6,36
271230320001003,55104,67-113,28,3,4,0,15
271230352002017,55105,63-113,86,0,5,5,73
271230332002005,55104,67-113,57,11,4,2,35
271230422025004,55117,71-113,49,3,2,21,16
271230342013003,55101,21-113,0,0,0,0,0
271230411074003,55112,25-113,51,13,3,0,28
271230324002009,55104,67-113,61,7,11,9,25
271230413011013,55113,921-113,65,4,1,2,53
271230323001019,55104,83-113,56,12,2,8,32
271230347021001,55119,219-113,120,5,26,19,58
271230420022026,55113,61-113,48,8,1,7,32
271230308004012,55117,3-113,65,13,0,20,31
271230303001010,55117,65-113,68,0,6,0,55
271230402002045,55110,265-113,15,0,2,0,12
271230361002007,55107,71-113,44,11,14,0,16
271230322001013,55104,67-113,0,0,0,0,0
271230418003023,55113,83-113,38,0,3,2,29
270530268152006,55444,722-113,67,8,1,31,27
270530246002018,55423,18-113,44,3,3,2,35
270530252052004,55420,553-113,60,6,0,19,35
270530261041027,55343,12-113,0,0,0,0,0
270530233004020,55343,612-113,9,1,0,0,4
270530240062014,55435,587-113,0,0,0,0,0
270530268077031,55428,705-113,43,1,4,1,36
270531113002006,55419,4-113,40,0,4,1,30
270539800001020,55450,515-113,0,0,0,0,0
270530083001000,55408,11-113,85,0,69,11,5
270530230003030,55426,604-113,23,5,7,0,8
270530268241009,55443,766-113,56,2,1,7,46
270530217005015,55422,14-113,30,0,1,0,29
270530230002012,55416,612-113,30,0,1,1,24
270530261031000,55343,12-113,0,0,0,0,0
270531094001003,55408,11-113,0,0,0,0,0
270530258011012,55431,597-113,77,2,6,0,51
270530006014011,55418,4-113,48,0,0,2,42
270531065002027,55405,25-113,62,0,0,0,47
270370601021021,55118,75-113,51,1,12,3,33
271230375003007,55116,84-113,85,8,1,3,73
271230360002009,55102,54-113,186,4,8,10,153
271230408011014,55112,250-113,0,0,0,0,0
271230351002013,55105,70-113,86,7,5,14,47
271230411043007,55112,25-113,44,0,7,7,27
271630703044012,55090,270-113,23,0,1,0,21
271630714001020,55016,364-113,13,0,0,1,7
271630706022044,55082,294-113,0,0,0,0,0
